num,worktree,branch,date,verdict,confidence,land_effort,category,dirt,analysis
1,freshagent-undo-redo,the-usual/freshagent-undo-redo,2026-08-23,finish-work,high,medium,finish-work,read-useful,"Fresh-agent /undo /redo rollback; tasks 1-6 complete; final e2e spec still missing. BRANCH ADVANCED SINCE AUDIT (tip ce4096b62 -> cc3a3fa11, another agent active): uncommitted dirt is now a coherent 8-file 'delta-r1' fix batch (F1 claude compact busy discipline, F2 codex compact_in_flight, F6 redoableTurnIds, F8 epoch bookkeeping; +812/-213), all commit-to-branch. Worth finishing, not restarting. [useful dirt: crates/freshell-freshagent/src/rollback_record.rs; crates/freshell-freshagent/src/codex.rs; crates/freshell-freshagent/src/opencode_ws.rs; crates/freshell-freshagent/src/claude.rs; crates/freshell-freshagent/src/claude_snapshot.rs; crates/freshell-freshagent/src/lib.rs; crates/freshell-freshagent/src/snapshot.rs; crates/freshell-freshagent/src/identity_sink.rs]"
2,gcloud-robot-conversion,the-usual/gcloud-robot-conversion,2026-08-23,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Gcloud-robot identity conversion
3,reconnect-revive,the-usual/reconnect-revive,2026-08-23,in-main,high,none,in-main,none,Fundamentally landed: squash-merged as PR #677; only residual diff is a test fixture where main generalized model ID strings. Nothing to salvage.
4,sidebar-pinned-status-sort,the-usual/sidebar-pinned-status-sort,2026-08-21,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Sidebar pinned-status sorting
5,fix-opencode-model-heuristic-7mtf,fix/opencode-model-heuristic-7mtf,2026-08-20,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Opencode model heuristic fix
6,slash-command-catalogs,the-usual/slash-command-catalogs,2026-08-19,in-main,high,none,in-main,none,Slash-command catalog feature (Claude/Codex/OpenCode) with tests and a converged plan marker - a the-usual run that simply never got its PR. git merge-tree vs current main: ZERO conflicts despite 99 behind; focused suites pass at its HEAD. Needs only broad gate + PR approval. LANDED 2026-08-24 as PR #684 (includes P3 probe-path fix e310c3710; broad gate + cloud e2e 7/7 green). Worktree/branch deletable.
7,kata-sbnj,the-usual/kata-sbnj,2026-08-17,skipped-plan,medium,none,skipped-plan,none,"22.8k-line parallel-safe cloud-runner plan, unexecuted; plan-only."
8,release-v0.7.6-rc.1,release/v0.7.6-rc.1,2026-08-17,throw-away-useless,high,none,throw-away,none,"Single version-bump commit for 0.7.6-rc.1; release was never tagged and main has moved on (0.7.5 package line still current). Pure string bump, no value."
9,v0h9,v0h9/event-driven-session-index,2026-08-17,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Event-driven session index
10,fresh-agent-model-selector,fix/e2e-cloud-allow-model-picker-spec,2026-08-16,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Model picker e2e spec
11,session-directory-identity-collisions,fix/session-directory-identity-collisions,2026-08-16,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Session identity collision fix
